_*0 0:00 |the georgia association of the deaf hosted its first ever| 8LCX_1ayqzA
_*426 0:58 |children get the flu| jozhKNUDY_8
_*427 1:05 |how dangerous is that most children who get the flu| jozhKNUDY_8
_*428 1:12 |are sick for a few days and then they recover just fine| jozhKNUDY_8
_*429 1:16 |but certain kids are more likely to get| jozhKNUDY_8
_*430 1:20 |very ill and even need to go to the hospital| jozhKNUDY_8
_*431 1:24 those jozhKNUDY_8
_*432 1:27 |high-risk kids are children| jozhKNUDY_8
_*433 1:31 |fiber younger and especially children younger than age to| jozhKNUDY_8
_*434 1:35 |he and kids who have medical problems| jozhKNUDY_8
_*435 1:40 |like asthma for| jozhKNUDY_8
_*436 1:44 |diabetes at| jozhKNUDY_8
_*437 1:49 |each 8 you were n't even is old enough that he be fine| jozhKNUDY_8
_*438 1:52 |if you got the flu he probably recover quickly that 's a relief| jozhKNUDY_8
_*439 1:59 |david does n't have any health problems like that but a friend of mine| jozhKNUDY_8
_*440 2:02 |her daughter has asma woohoo| jozhKNUDY_8
_*441 2:07 |well she should be especially careful about preventing her daughter from| jozhKNUDY_8
_*442 2:11 |getting the flu| jozhKNUDY_8
_*443 2:12 and jozhKNUDY_8
_*444 2:15 |taking good care of her if she does get sick oh yes she 's a real good mom| jozhKNUDY_8
_*445 2:22 |good really| jozhKNUDY_8
_*446 2:25 |all adults and all children should do the proper things to prevent the spread| jozhKNUDY_8
_*447 2:30 |of the flu| jozhKNUDY_8
_*448 2:31 |kidding the flu is no fun| jozhKNUDY_8
_*449 2:34 |even for healthy people and we sure do n't want to spread the flu to people| jozhKNUDY_8
_*450 2:39 |who are at risk| jozhKNUDY_8
_*451 2:40 |for more serious health problems if they get the flu sure i understand that my| jozhKNUDY_8
_*452 2:50 |whole family gets the flu vaccination every year| jozhKNUDY_8
_*453 2:53 |wonderful that 's really important| jozhKNUDY_8
_*454 2:57 |compared to getting a cold| jozhKNUDY_8
_*455 3:01 |getting the flu is more dangerous for children| jozhKNUDY_8
_*456 3:04 |every year| jozhKNUDY_8
_*457 3:07 |the flu makes many children very sick| jozhKNUDY_8
_*458 3:11 |ice on your letter| jozhKNUDY_8
_*459 3:14 |that you should help children learn to cover their mouth and nose with a tissue| jozhKNUDY_8
_*460 3:17 |when they cough or sneeze and then throw the tissue away and wash their hands| jozhKNUDY_8
_*461 3:21 |i do that with david| jozhKNUDY_8
_*462 3:25 |remind him to wash its hands often mmm| jozhKNUDY_8
_*463 3:30 |yeah kids and the gold both need that reminder| jozhKNUDY_8
_*464 3:34 |that helps prevent all kinds of germs from spreading| jozhKNUDY_8
_*465 3:39 |okay if| jozhKNUDY_8
_*466 3:44 |obama their is n't issue around| jozhKNUDY_8
_*467 3:47 |when you need to cough or sneeze| jozhKNUDY_8
_*468 3:51 |what do you do do n't sneeze in your hands but instead do this| jozhKNUDY_8
_*469 3:57 |sneeze or cough in your elbow perfect| jozhKNUDY_8
_*470 4:02 |and you try not to touch your mouth knows| jozhKNUDY_8
_*471 4:05 |or eyes and wash your hands often| jozhKNUDY_8
_*472 4:10 |oh i 'm real careful| jozhKNUDY_8
_*473 4:13 |to wash my hands often and use a tissue when i cough or sneeze| jozhKNUDY_8
_*474 4:17 |thanks for the reminder i 'll be sure to keep reminding david| jozhKNUDY_8
_*475 4:21 |i want to be sure my whole family does everything we can to avoid exposure to| jozhKNUDY_8
_*476 4:25 |germs and prevent spreading them to others| jozhKNUDY_8
_*477 4:27 |good did you get your flu vaccination for this year yet| jozhKNUDY_8
_*478 4:31 |yes i got one last week from my doctor| jozhKNUDY_8
_*479 4:37 |great and i got your permission form allowing me to give david his flu| jozhKNUDY_8
_*480 4:41 vaccination jozhKNUDY_8
_*481 4:42 |so he set it to great thanks| jozhKNUDY_8
_*482 4:48 |the cdc you know the government agency they put out recommendations about| jozhKNUDY_8
_*483 4:52 |protecting against the flu| jozhKNUDY_8
_*484 4:54 |there are three steps they recommend| jozhKNUDY_8
_*485 5:00 |who were n't step 1 :| jozhKNUDY_8
_*486 5:04 |is getting vaccinated every year| jozhKNUDY_8
_*487 5:07 |that 's the best way to prevent| jozhKNUDY_8
_*488 5:11 |right we always follow that recommendation| jozhKNUDY_8
_*489 5:14 |step 2 : is to do the everyday flu prevention things we already talked| jozhKNUDY_8
_*490 5:19 about jozhKNUDY_8
_*491 5:19 |like and washing and staying home if you 're sick| jozhKNUDY_8
_*492 5:26 |step 3 : is taking anti-viral| jozhKNUDY_8
_*493 5:30 |medicines if your doctor recommends that| jozhKNUDY_8
_*494 5:36 |medicine just for adults it 's not for children is n't| jozhKNUDY_8
_*495 5:41 |old yes children can take antiviral medicines| jozhKNUDY_8
_*496 5:46 |if your child is sick with the flu ask your doctor| jozhKNUDY_8
_*497 5:50 |medicines are other treatment is needed| jozhKNUDY_8
_*498 5:53 |and if the doctor gives you antiviral medicines for your child| jozhKNUDY_8
_*499 5:57 |follow your doctor 's instructions exactly| jozhKNUDY_8
_*500 6:01 |as directed that 's cdc 's step 3 :| jozhKNUDY_8
_*501 6:05 |but how will i know if i should take my child to the doctor| jozhKNUDY_8
_*502 6:08 |i would n't normally take david to a doctor if he just has a cold| jozhKNUDY_8
_*503 6:14 |call rights| jozhKNUDY_8
_*504 6:17 |its specially important for parents with| jozhKNUDY_8
_*505 6:20 |very young children children with| jozhKNUDY_8
_*506 6:24 |medical problems like asthma or diabetes| jozhKNUDY_8
_*507 6:29 |or children with more severe illness| jozhKNUDY_8
_*508 6:34 |to talk to their doctor| jozhKNUDY_8
_*509 6:37 |mom i see no one more question| jozhKNUDY_8
_*510 6:41 |when children have the flu how long should they stay outta school| jozhKNUDY_8
_*511 6:46 |good question| jozhKNUDY_8
_*512 6:50 |one day 24 hours| jozhKNUDY_8
_*513 6:54 |after the fever stays gone without using| jozhKNUDY_8
_*514 6:58 |fever reducing medication like aspirin tylenol| jozhKNUDY_8
_*515 7:01 |or advil| jozhKNUDY_8
_*516 7:04 |and what temperature is a fever again| jozhKNUDY_8
_*517 7:09 |100 or more k| jozhKNUDY_8
_*518 7:13 |addition to david judge have a little girl to| jozhKNUDY_8
_*519 7:18 |yes amana she 's too huh you| jozhKNUDY_8
_*520 7:21 |paul i bet she 's so cute and signing already right| jozhKNUDY_8
_*521 7:25 |oh yeah she knows a lot assigns she 's gon na be really fun soon| jozhKNUDY_8
_*522 7:29 |that 's wonderful it did you talk to her doctor about amanda 's| jozhKNUDY_8
_*523 7:33 |flu vaccination yes i asked about the nasal spray that prevents the flu| jozhKNUDY_8
_*524 7:38 |because i thought she 'd be too young for an injunction| jozhKNUDY_8
_*525 7:43 |all know she 's not too young for injection| jozhKNUDY_8
_*526 7:47 |children ages 6 months and older and| jozhKNUDY_8
_*527 7:50 |adults a police can get the flu vaccination| jozhKNUDY_8
_*528 7:54 |the nasal spray is for people h2 49 years| jozhKNUDY_8
_*529 7:58 |for otherwise healthy now that 's what the doctor told me to| jozhKNUDY_8
_*530 8:04 |it 's great that you talk to your doctor about which flew back seat is best for| jozhKNUDY_8
_*531 8:08 |each person in your family| jozhKNUDY_8
_*532 8:10 |i wish all families did that| jozhKNUDY_8
_*533 8:14 |well my daughter need another flu vaccination next year| jozhKNUDY_8
_*534 8:18 |yes all people need the flu vaccine| jozhKNUDY_8
_*535 8:21 |every year each year the viruses that cause the flu can be different| jozhKNUDY_8
_*536 8:28 |cell the vaccines change every year to| jozhKNUDY_8
_*537 8:31 |to keep your flu protection up-to-date| jozhKNUDY_8
_*538 8:37 |mom i did n't know flu vaccines are different| jozhKNUDY_8
_*539 8:40 |every year who| jozhKNUDY_8
_*540 8:44 |yes they are % um will be sure to get our vaccinations next year| jozhKNUDY_8
_*541 8:48 |to your outstanding mom| jozhKNUDY_8
_*542 8:53 |it sounds like you 're doing everything right to protect your family from the| jozhKNUDY_8
_*543 8:56 flu jozhKNUDY_8
_*544 8:58 |thinks i just wan na make sure my kids are healthy| jozhKNUDY_8
_*545 9:01 |thank you so much % uh course you 're welcome| jozhKNUDY_8
_*546 9:05 |i 'm glad you came in for this jet| jozhKNUDY_8
_*547 0:00 |today i 'm going to teach you how to sign| 4FuW7KPvwjo
_*548 0:01 numbers 4FuW7KPvwjo
_*549 0:03 numbers 4FuW7KPvwjo
_*550 0:03 1 4FuW7KPvwjo
_*551 0:04 2 4FuW7KPvwjo
_*552 0:05 3 4FuW7KPvwjo
_*553 0:06 4 4FuW7KPvwjo
_*554 0:07 5 4FuW7KPvwjo
_*555 0:08 6 4FuW7KPvwjo
_*556 0:10 7 4FuW7KPvwjo
_*557 0:11 8 4FuW7KPvwjo
_*558 0:12 9 4FuW7KPvwjo
_*559 0:13 10 4FuW7KPvwjo
_*560 0:14 11 4FuW7KPvwjo
_*561 0:16 12 4FuW7KPvwjo
_*562 0:17 13 4FuW7KPvwjo
_*563 0:18 14 4FuW7KPvwjo
_*564 0:19 15 4FuW7KPvwjo
_*565 0:20 16 4FuW7KPvwjo
_*566 0:21 17 4FuW7KPvwjo
_*567 0:22 18 4FuW7KPvwjo
_*568 0:23 19 4FuW7KPvwjo
_*569 0:24 20 4FuW7KPvwjo
_*570 0:26 21 4FuW7KPvwjo
_*571 0:27 22 4FuW7KPvwjo
_*572 0:29 23 4FuW7KPvwjo
_*573 0:31 24 4FuW7KPvwjo
_*574 0:33 |etc , etc ...| 4FuW7KPvwjo
_*575 0:34 |so if you 're doing double numbers , there 's actually a shortcut| 4FuW7KPvwjo
_*576 0:37 |rather than doing 33 , you can do| 4FuW7KPvwjo
_*577 0:40 33 4FuW7KPvwjo
_*578 0:41 44 4FuW7KPvwjo
_*579 0:43 55 4FuW7KPvwjo
_*580 0:44 66 4FuW7KPvwjo
_*581 0:45 22 4FuW7KPvwjo
_*582 0:46 |etc , etc ...| 4FuW7KPvwjo
_*583 0:48 30 4FuW7KPvwjo
_*584 0:49 40 4FuW7KPvwjo
_*585 0:49 50 4FuW7KPvwjo
_*586 0:50 60 4FuW7KPvwjo
_*587 0:52 70 4FuW7KPvwjo
_*588 0:53 80 4FuW7KPvwjo
_*589 0:54 90 4FuW7KPvwjo
_*590 0:55 100 4FuW7KPvwjo
_*591 0:57 200 4FuW7KPvwjo
_*592 0:59 300 4FuW7KPvwjo
_*593 1:01 400 4FuW7KPvwjo
_*594 1:03 |etc , etc ... and for thousand| 4FuW7KPvwjo
_*595 1:05 1,000 4FuW7KPvwjo
_*596 1:06 2,000 4FuW7KPvwjo
_*597 1:08 3,000 4FuW7KPvwjo
_*598 1:09 4,000 4FuW7KPvwjo
_*599 1:11 5,000 4FuW7KPvwjo
_*600 1:14 |etc , etc ...| 4FuW7KPvwjo
_*601 1:16 |1 million| 4FuW7KPvwjo
_*602 1:18 |2 million| 4FuW7KPvwjo
_*603 1:20 |3 million| 4FuW7KPvwjo
_*604 1:23 |etc ... and if you want to go crazy you can do ...| 4FuW7KPvwjo
_*605 1:26 |1 billion| 4FuW7KPvwjo
_*606 1:28 |2 billion| 4FuW7KPvwjo
_*607 1:30 |how much money do you want to make ?| 4FuW7KPvwjo
_*608 1:33 |yeah , all jokes aside -| 4FuW7KPvwjo
_*609 1:35 |that 's how you sign numbers .| 4FuW7KPvwjo
_*610 1:36 |and if you want to know| 4FuW7KPvwjo
_*611 1:38 |how i teach people how to sign| 4FuW7KPvwjo
_*612 1:40 |and earn money from home -| 4FuW7KPvwjo
_*613 1:41 |from the comfort of my own home ,| 4FuW7KPvwjo
_*614 1:43 |click the link below this video .| 4FuW7KPvwjo
_*615 1:44 |subscribe to my channel| 4FuW7KPvwjo
_*616 1:45 |so i can teach you more signs in auslan - australian sign language .| 4FuW7KPvwjo
_*617 0:33 |everyone needs compassion| ICqFBBQjuQ8
_*618 0:36 |a love that 's never failing| ICqFBBQjuQ8
_*619 0:40 |let mercy fall on me| ICqFBBQjuQ8
_*620 0:44 |everyone needs forgiveness| ICqFBBQjuQ8
_*621 0:48 |a kindness of a savior| ICqFBBQjuQ8
_*622 0:52 |the hope of nations| ICqFBBQjuQ8
_*623 1:01 savior ICqFBBQjuQ8
_*624 1:03 |he can move the mountains| ICqFBBQjuQ8
_*625 1:07 |my god is mighty to save| ICqFBBQjuQ8
_*626 1:10 |he is mighty to save| ICqFBBQjuQ8
_*627 1:14 |forever , author of salvation| ICqFBBQjuQ8
_*628 1:19 |he rose and conquered the grave| ICqFBBQjuQ8
_*629 1:22 |jesus conquered the grave| ICqFBBQjuQ8
_*630 1:40 |so take me as you find me| ICqFBBQjuQ8
_*631 1:43 |all my fears and failures| ICqFBBQjuQ8
_*632 1:47 |fill my life again| ICqFBBQjuQ8
_*633 1:52 |i give my life to follow| ICqFBBQjuQ8
_*634 1:55 |everything i believe in| ICqFBBQjuQ8
_*635 2:00 |now i surrender| ICqFBBQjuQ8
_*636 2:05 |yes , i surrender| ICqFBBQjuQ8
_*637 2:09 savior ICqFBBQjuQ8
_*638 2:10 |he can move the mountains| ICqFBBQjuQ8
_*639 2:14 |my god is mighty to save| ICqFBBQjuQ8
_*640 2:18 |he is mighty to save| ICqFBBQjuQ8
_*641 2:21 |forever , author of salvation| ICqFBBQjuQ8
_*642 2:26 |he rose and conquered the grave| ICqFBBQjuQ8
_*643 2:30 |jesus conquered the grave| ICqFBBQjuQ8
_*644 2:34 |shine your light and| ICqFBBQjuQ8
_*645 2:36 |let the whole world see| ICqFBBQjuQ8
_*646 2:39 |we 're singing for the glory| ICqFBBQjuQ8
_*647 2:42 |of the risen king , jesus| ICqFBBQjuQ8
_*648 2:46 |shine your light and| ICqFBBQjuQ8
_*649 2:48 |let the whole world see| ICqFBBQjuQ8
_*650 2:51 |we 're singing for the glory| ICqFBBQjuQ8
_*651 2:54 |of the risen king| ICqFBBQjuQ8
_*652 2:58 savior ICqFBBQjuQ8
_*653 3:00 |he can move the mountains| ICqFBBQjuQ8
_*654 3:04 |my god is mighty to save| ICqFBBQjuQ8
_*655 3:07 |he is mighty to save| ICqFBBQjuQ8
_*656 3:11 |forever , author of salvation| ICqFBBQjuQ8
_*657 3:16 |he rose and conquered the grave| ICqFBBQjuQ8
_*658 3:19 |jesus conquered the grave| ICqFBBQjuQ8
_*659 3:23 |you 're my savior| ICqFBBQjuQ8
_*660 3:25 |you can move the mountains| ICqFBBQjuQ8
_*661 3:28 |god , you are mighty to save| ICqFBBQjuQ8
_*662 3:32 |you are mighty to save| ICqFBBQjuQ8
_*663 3:35 |forever , author of salvation| ICqFBBQjuQ8
_*664 3:40 |you rose and conquered the grave| ICqFBBQjuQ8
_*665 3:44 |jesus , you conquered the grave| ICqFBBQjuQ8
_*666 3:51 |you are mighty to save| ICqFBBQjuQ8
_*667 0:11 |in astrology , virgo ( virgo ) is the sixth sign of the zodiac , the third of a negative nature ( night , passive , yin , feminine ) and mutable quality .| 3aLvHycdSkE
_*668 0:20 |symbolizes the service and work and its symbol repre a virgin , belongs alongside taurus and capricorn the earth element .| 3aLvHycdSkE
_*669 0:26 |it is ruled by mercury and until 1970 it was believed that the non-existent planet vulcan .| 3aLvHycdSkE
_*670 0:33 |since its symbol is represented by a female , it has been identified with several goddesses such as astrea and even compared with aphrodit .| 3aLvHycdSkE
_*671 0:41 |for the romans represented ceres the goddess of agriculture , crops and fertility , who has a pin in his hand , hence the name of the star spica belonging to this constellation .| 3aLvHycdSkE
_*672 0:53 |it is considered that someone is when the sign virgo born between august 23 and september 22 .| 3aLvHycdSkE
_*673 0:59 |it is opposite pisces .| 3aLvHycdSkE
_*674 1:05 |we are born between : august 23 to september 22 .| 3aLvHycdSkE
_*675 1:08 |symbolize : the pursuit of perfection , criticism , analysis , logic , system , industry , detail , the subordinate occupations , the proletariat , service , health , handicrafts , efficiency , plants and animals domestic .| 3aLvHycdSkE
_*676 1:25 |our element : earth . our season : summer . our character : perfectionists .| 3aLvHycdSkE
_*677 1:31 |pros : very helpful , are the first to do favors , we are very modest .| 3aLvHycdSkE
_*678 1:36 |cons : some stingy and irresponsible . our day : wednesday . our color : dark green .| 3aLvHycdSkE
_*679 1:42 |our planet : mercury . our perfume : acacia . our precious stones and metals : mercury and topaz .| 3aLvHycdSkE
_*680 1:49 |we are the only sign represented by a woman , we characterized by precision , conventionality , reserved attitude and desire , sometimes obsession with cleanliness .| 3aLvHycdSkE
_*681 1:58 |we tend to be observers and patients . we can sometimes seem cold , in fact it costs us make great friends .| 3aLvHycdSkE
_*682 2:04 |the fact that many of our relationships with others are being superficial is because we fear actually give rein to their feelings and we need to have security in our emotions and opinions .| 3aLvHycdSkE
_*683 2:14 |we prefer to act with reservations and with a pleasant disposition .| 3aLvHycdSkE
_*684 2:18 |we tend to be discreet , friendly and fun with other people and can help troubleshoot third with skill and wisdom often missing in our personal relationships .| 3aLvHycdSkE
_*685 2:30 |we have charm and dignity to the point that sometimes can appear somewhat effeminate men , although they are not .| 3aLvHycdSkE
_*686 2:37 |we are methodical , studious and like logic .| 3aLvHycdSkE
_*687 2:40 |we also like to learn and are able to analyze more complicated situations .| 3aLvHycdSkE
_*688 2:45 |however , sometimes we are so meticulous that delayed the completion of complex projects .| 3aLvHycdSkE
_*689 2:51 |we are very intuitive and able to see all sides of an argument , making it hard for us to draw firm conclusions .| 3aLvHycdSkE
_*690 0:13 |this next scenario| d2gqqtUy3WE
_*691 0:15 |shows a deaf person making a call| d2gqqtUy3WE
_*692 0:18 |through the video relay service to a travel agent| d2gqqtUy3WE
_*693 0:22 |who has not yet experienced vrs call| d2gqqtUy3WE
_*694 0:25 |in order to make plans for a trip the see what happens| d2gqqtUy3WE
_*695 0:30 been d2gqqtUy3WE
_*696 1:01 |okay thank you about home| d2gqqtUy3WE
_*697 1:07 |f ho| d2gqqtUy3WE
_*698 1:11 |up up and away travel| d2gqqtUy3WE
_*699 1:16 |how can i help you hello a person using sign language is calling you through the| d2gqqtUy3WE
_*700 1:20 |video relay service| d2gqqtUy3WE
_*701 1:21 |on a sign language interpreter number 99 now the interpreting the car for you| d2gqqtUy3WE
_*702 1:26 |okay at not interested| d2gqqtUy3WE
_*703 1:43 |ha up up and away travel| d2gqqtUy3WE
_*704 1:46 |can help you no customers calling you to make a reservation for a cruise| d2gqqtUy3WE
_*705 1:52 |to the video relay service i 'm sign language interpreter my numbers 19| d2gqqtUy3WE
_*706 1:57 |i see i thought you were selling something before so how can i help you| d2gqqtUy3WE
_*707 2:01 |my last night to celebrate their fifth wedding anniversary| d2gqqtUy3WE
_*708 2:08 |and we 'd like some information about cruises so we 're curious about what| d2gqqtUy3WE
_*709 2:12 choices d2gqqtUy3WE
_*710 2:12 |congratulations yes the cruise is a wonderful way to celebrate| d2gqqtUy3WE
_*711 2:17 |we are you thinking of going who| d2gqqtUy3WE
_*712 2:23 |were wide open just give us our options well| d2gqqtUy3WE
_*713 2:26 |there are many different options for example mexico hell| d2gqqtUy3WE
_*714 2:30 |me the caribbean lol| d2gqqtUy3WE
_*715 2:45 |are you still there your colors not looking at the screen| d2gqqtUy3WE
_*716 3:12 |my wife does n't want to be anywhere near hurricane well of course it depends on| d2gqqtUy3WE
_*717 3:16 |the 10| d2gqqtUy3WE
